Altitude_km,Mach_0.030,Mach_0.040,Mach_0.050,Mach_0.060,Mach_0.070,Mach_0.080,Mach_0.090,Mach_0.100,Mach_0.110,Mach_0.120,Mach_0.130,Mach_0.140,Mach_0.150,Mach_0.160,Mach_0.170,Mach_0.180,Mach_0.190,Mach_0.200,Mach_0.210,Mach_0.220,Mach_0.230,Mach_0.240,Mach_0.250,Mach_0.260,Mach_0.270,Mach_0.280,Mach_0.290,Mach_0.300,Mach_0.310,Mach_0.320,Mach_0.330,Mach_0.340,Mach_0.350,Mach_0.360,Mach_0.370,Mach_0.380,Mach_0.390,Mach_0.400,Mach_0.410,Mach_0.420,Mach_0.430,Mach_0.440,Mach_0.450,Mach_0.460,Mach_0.470,Mach_0.480,Mach_0.490
6.0,,,1.11391,0.77355,0.56832,0.43512,0.3438,0.27848,0.23015,0.19339,0.16478,0.14208,0.12377,0.10878,0.09636,0.08595,0.07714,0.06962,0.06315,0.05754,0.05264,0.04835,0.04456,0.04119,0.0382,0.03552,0.03311,0.03094,0.02898,0.02719,0.02557,0.02409,0.02273,0.02149,0.02034,0.01929,0.01831,0.0174,0.01657,0.01579,0.01506,0.01438,0.01375,0.01316,0.01261,0.01209,0.0116
6.5,,,1.1935,0.82882,0.60893,0.46621,0.36836,0.29837,0.24659,0.2072,0.17655,0.15223,0.13261,0.11655,0.10324,0.09209,0.08265,0.07459,0.06766,0.06165,0.0564,0.0518,0.04774,0.04414,0.04093,0.03806,0.03548,0.03315,0.03105,0.02914,0.0274,0.02581,0.02436,0.02302,0.0218,0.02066,0.01962,0.01865,0.01775,0.01691,0.01614,0.01541,0.01473,0.0141,0.01351,0.01295,0.01243
7.0,,,1.27995,0.88885,0.65303,0.49998,0.39505,0.31999,0.26445,0.22221,0.18934,0.16326,0.14222,0.12499,0.11072,0.09876,0.08864,0.08,0.07256,0.06611,0.06049,0.05555,0.0512,0.04734,0.04389,0.04081,0.03805,0.03555,0.0333,0.03125,0.02938,0.02768,0.02612,0.02469,0.02337,0.02216,0.02104,0.02,0.01904,0.01814,0.01731,0.01653,0.0158,0.01512,0.01449,0.01389,0.01333
7.5,,,1.37396,0.95414,0.701,0.5367,0.42406,0.34349,0.28388,0.23853,0.20325,0.17525,0.15266,0.13418,0.11885,0.10602,0.09515,0.08587,0.07789,0.07097,0.06493,0.05963,0.05496,0.05081,0.04712,0.04381,0.04084,0.03817,0.03574,0.03354,0.03154,0.02971,0.02804,0.0265,0.02509,0.02379,0.02258,0.02147,0.02043,0.01947,0.01858,0.01774,0.01696,0.01623,0.01555,0.01491,0.01431
8.0,,,,1.02521,0.75321,0.57668,0.45565,0.36907,0.30502,0.2563,0.21839,0.1883,0.16403,0.14417,0.12771,0.11391,0.10224,0.09227,0.08369,0.07626,0.06977,0.06408,0.05905,0.0546,0.05063,0.04708,0.04389,0.04101,0.03841,0.03604,0.03389,0.03193,0.03013,0.02848,0.02696,0.02556,0.02427,0.02307,0.02196,0.02092,0.01996,0.01906,0.01823,0.01744,0.01671,0.01602,0.01537
8.5,,,,1.10267,0.81012,0.62025,0.49007,0.39696,0.32807,0.27567,0.23489,0.20253,0.17643,0.15506,0.13736,0.12252,0.10996,0.09924,0.09001,0.08202,0.07504,0.06892,0.06351,0.05872,0.05445,0.05063,0.0472,0.04411,0.04131,0.03877,0.03645,0.03434,0.0324,0.03063,0.029,0.02749,0.0261,0.02481,0.02361,0.0225,0.02147,0.0205,0.0196,0.01876,0.01797,0.01723,0.01653
9.0,,,,1.1872,0.87223,0.6678,0.52764,0.42739,0.35322,0.2968,0.25289,0.21806,0.18995,0.16695,0.14789,0.13191,0.11839,0.10685,0.09691,0.0883,0.08079,0.0742,0.06838,0.06322,0.05863,0.05451,0.05082,0.04749,0.04447,0.04174,0.03925,0.03697,0.03489,0.03298,0.03122,0.0296,0.0281,0.02671,0.02542,0.02423,0.02311,0.02208,0.02111,0.0202,0.01935,0.01855,0.0178
9.5,,,,1.27955,0.94008,0.71975,0.56869,0.46064,0.38069,0.31989,0.27257,0.23502,0.20473,0.17994,0.15939,0.14217,0.1276,0.11516,0.10445,0.09517,0.08708,0.07997,0.0737,0.06814,0.06319,0.05876,0.05477,0.05118,0.04793,0.04498,0.0423,0.03985,0.0376,0.03554,0.03365,0.0319,0.03029,0.02879,0.0274,0.02611,0.02491,0.02379,0.02275,0.02177,0.02085,0.01999,0.01919
10.0,,,,1.38059,1.01431,0.77658,0.6136,0.49701,0.41075,0.34515,0.29409,0.25358,0.22089,0.19415,0.17198,0.1534,0.13768,0.12425,0.1127,0.10269,0.09395,0.08629,0.07952,0.07352,0.06818,0.06339,0.0591,0.05522,0.05172,0.04854,0.04564,0.04299,0.04057,0.03835,0.0363,0.03442,0.03268,0.03106,0.02957,0.02818,0.02688,0.02567,0.02454,0.02349,0.0225,0.02157,0.0207
10.5,,,,,1.09562,0.83884,0.66278,0.53686,0.44368,0.37282,0.31767,0.27391,0.2386,0.20971,0.18576,0.1657,0.14871,0.13421,0.12174,0.11092,0.10148,0.0932,0.0859,0.07942,0.07364,0.06848,0.06384,0.05965,0.05586,0.05243,0.0493,0.04644,0.04382,0.04142,0.03922,0.03718,0.0353,0.03355,0.03194,0.03043,0.02903,0.02773,0.02651,0.02537,0.0243,0.0233,0.02236
