Altitude_km,Mach_0.030,Mach_0.040,Mach_0.050,Mach_0.060,Mach_0.070,Mach_0.080,Mach_0.090,Mach_0.100,Mach_0.110,Mach_0.120,Mach_0.130,Mach_0.140,Mach_0.150,Mach_0.160,Mach_0.170,Mach_0.180,Mach_0.190,Mach_0.200,Mach_0.210,Mach_0.220,Mach_0.230,Mach_0.240,Mach_0.250,Mach_0.260,Mach_0.270,Mach_0.280,Mach_0.290,Mach_0.300,Mach_0.310,Mach_0.320,Mach_0.330,Mach_0.340,Mach_0.350,Mach_0.360,Mach_0.370,Mach_0.380,Mach_0.390,Mach_0.400,Mach_0.410,Mach_0.420,Mach_0.430,Mach_0.440,Mach_0.450,Mach_0.460,Mach_0.470,Mach_0.480,Mach_0.490
0.0,,11.067517153177842,9.63886493455047,7.7655856999512505,6.1628266858021545,4.937463915536244,4.02139578376954,3.3324002469906477,2.786056512422886,2.362771779192212,2.0288858145464075,1.7613937779805713,1.543951859623814,1.358329430237917,1.2042143979415003,1.0746453685877002,0.9649532152173312,0.8712096710613406,0.7902529341840312,0.7202399853641733,0.6590467302465675,0.6053455892212973,0.5580723608316688,0.5158906786372351,0.47853651610939707,0.44493824962283784,0.4148294204285411,0.38767409514399775,0.36293576486449797,0.34061535419870054,0.3204446742405118,0.30188636006937825,0.284671811424993,0.2693393089227073,0.2548131272023706,0.24163144169070366,0.22952539847251058,0.21795705034674362,0.2074645454672394,0.19777892966826544,0.18863121322150136,0.180290494388012,0.17221869758670325,0.16495397317438495,0.15795822070712334,0.15150052634557404,0.1453118363490873
0.5,,11.090911709324462,9.886437000863356,8.071694863177848,6.452235168549241,5.190236794673885,4.237442262549941,3.516492902279541,2.943089660789499,2.497425212381007,2.145524297760033,1.8633464104695199,1.6339297358752458,1.4376365310765786,1.2745044368499847,1.1376432099089775,1.0216276232052879,0.9222905165307203,0.8367567841335607,0.7626607660873458,0.6978883756736961,0.6408506495400669,0.5907559100854612,0.5462728009792956,0.5066029078540576,0.4712140886155971,0.4393048478332227,0.41034085171765716,0.38432359643824304,0.36071778661310966,0.33925600177232923,0.3196705930888748,0.3016937333911694,0.28505745631647783,0.2697620338454776,0.2558076977032325,0.24292627634345598,0.23084953351062748,0.2198459502631987,0.2093788504116617,0.19971668387317473,0.19085951428598513,0.1825389900406127,0.17448673505309212,0.1672395971258597,0.1602607787450162,0.15381871491956328
1.0,,11.076388390619273,10.114933423322201,8.37772750699219,6.750603338691452,5.454879294311325,4.465455261243381,3.7122837332839356,3.110158446948934,2.6411338357648564,2.2701841262485773,1.9726242980788897,1.7301641378204864,1.5232658695494337,1.351246805157009,1.2068064775350185,1.084067093441601,0.9794492878114582,0.8886202792569422,0.8097455647337685,0.7409846011819917,0.6807528630216086,0.6274580430513977,0.5803062008583241,0.5379643412371781,0.5004371718163415,0.4663878169303263,0.4358186541149749,0.4081952137431895,0.3832506560091582,0.36018126421030827,0.3395242851153695,0.3202071983082967,0.3027670100363011,0.2866674580463943,0.27164045792970887,0.25795455570922526,0.24534157794454087,0.23353328740790302,0.22252977910172583,0.21233113589937974,0.2026690351471486,0.19381192315462736,0.1854914506524229,0.17770765257133814,0.17019214690895848,0.1634817829298877
1.5,,11.022947447541297,10.320643852672713,8.681392234230872,7.0570861089478125,5.7311835945956915,4.706039549572256,3.919892985600986,3.288121093162971,2.794400339944751,2.4034565508831207,2.089356028349481,1.833347587710946,1.6152860919391843,1.43376102601097,1.2810797708294144,1.1514563216774587,1.0408413896914734,0.9441966000032861,0.8605530685920935,0.787543243723548,0.7235873136022742,0.6668286038853053,0.6167430472554694,0.571731549011026,0.5317997306899911,0.49587975143678625,0.4631702347547202,0.4339414482681699,0.4071223868537853,0.3829824201291153,0.36071778661310966,0.34032913350149924,0.32181700776450844,0.3046452347597586,0.2888141140691812,0.2743239022732296,0.26063810948561084,0.24802522759088685,0.23648539493803258,0.22548197009151597,0.21555178733985664,0.20588975942920298,0.19703271125248845,0.1887122961229804,0.1809285494542512,0.17368150249307743
2.0,,10.953380799743076,10.533233309305194,9.011963251262008,7.397328475275849,6.040834153526765,4.976035533041059,4.1527608272621235,3.4876285870429737,2.9664356455784673,2.552930795252334,2.219765713653189,1.9485309669147481,1.7168983795690018,1.5241820820408363,1.3619997424614598,1.2243608616978656,1.106721881117973,1.004278207680202,0.915343639141899,0.8375589937159391,0.7693501328172723,0.7091323091192497,0.6558488362828785,0.6081704779011291,0.5655682263570149,0.5272431336248662,0.4926626792408968,0.46156142349102053,0.43313692622708483,0.407390594068835,0.38378712684234983,0.3620590875281573,0.3422071034572954,0.32396340583679206,0.30732839204208534,0.29176574174582454,0.2772756654977775,0.26385834625955257,0.25151394220210155,0.23997421952352155,0.22923927222388218,0.2190407981450777,0.20964724084993652,0.2007902684243643,0.19246992145036435,0.18468623590472236
2.5,,10.842107666995574,10.714990263402631,9.335374430394014,7.745369039748197,6.363958826616826,5.261146459039498,4.400479410423487,3.700584105199342,3.1505529333489277,2.712873313374542,2.3600304945157493,2.0720205752109107,1.82618053867424,1.6213185266056975,1.4491736028352578,1.3027706017234078,1.1776094380641935,1.068586940995607,0.9741088404228199,0.8915602023103875,0.8188392031399404,0.7549006205137037,0.6978883756736961,0.6472786441715019,0.6020086335359616,0.5612805552835034,0.524562725007029,0.4913222156025181,0.4610251500922666,0.43340510059010573,0.40846341964365684,0.385396531911225,0.3642051538056949,0.3448898942144005,0.3269146758727941,0.3105481480578786,0.29525399228309723,0.28103241589772243,0.2676152504182272,0.2552709811349165,0.2439997456897767,0.23326491286195267,0.22306654272318308,0.21367307701721883,0.20508458058533982,0.19676431311301348
3.0,,10.689725178863931,10.861537410275243,9.647577058009364,8.09884429173354,6.700198983689295,5.5615224987025735,4.663037523058563,3.9278670480505573,3.3473938511142634,2.884328488916352,2.5102589872593284,2.204760445919874,1.9435888173953,1.726176937714985,1.5428316858447464,1.3871919389123304,1.2540183536079377,1.1381762295600226,1.0373725555079167,0.9495387779754055,0.8723155090118612,0.8038610441035384,0.7433932591919448,0.6895886455418693,0.6411184886033776,0.5977219817088664,0.558600702040085,0.5232225048389725,0.4910541216864801,0.4618295596326515,0.43501413942634626,0.4106090549785999,0.3880788488200479,0.36742421796016755,0.3483774806040653,0.3306707915807182,0.31430448448621673,0.2992788467324093,0.28505745631647783,0.2721771485573858,0.2598330455493433,0.24829359145921095,0.23782725438735494,0.22762900428295377,0.21823564443738763,0.20964724084993652
3.5,,10.497666661843462,10.968769220364695,9.943632789168669,8.454813663917209,7.048248974992767,5.877367168165266,4.941576180723276,4.169973704999663,3.5580027333308486,3.0682762790072435,2.6718068021092383,2.3474057347834707,2.0700848171998505,1.8386967258972624,1.6437247233100714,1.4781243411148972,1.336457539392228,1.212762172747582,1.1056554134326826,1.0120191405544852,0.9295040512259416,0.8570775449769614,0.7923585796805863,0.7350965675126684,0.6834304362404909,0.6373686948465309,0.5955786095344032,0.5577967372842612,0.5234905497163941,0.49239458730618096,0.46370650219268217,0.4376958427531908,0.4138274682370653,0.3915658140087622,0.3714479881386904,0.35266982942249064,0.33523171893109965,0.3188656833275427,0.30410860034922355,0.28988743649925897,0.27700732449986626,0.26493175172842026,0.2533924666739341,0.24265790851666283,0.23272816320601983,0.22333492426422463
4.0,,10.268093049002385,11.033005176686862,10.21847853270396,8.810216558009103,7.40705656016606,6.208235742595604,5.236479766564761,4.427934141475406,3.7830625294160267,3.2651221597550246,2.845208419024201,2.500837078910433,2.2060832201873812,1.959855054053058,1.7525904299254742,1.5760588510922924,1.4251639181984852,1.293388841856627,1.1792076501388975,1.0792558502336613,0.9917311199157005,0.9140076440634718,0.8453133730170879,0.7840653733787408,0.7292082475776364,0.6796818183803538,0.6352259103639439,0.5950427616905813,0.558600702040085,0.5250988101179,0.4948074004117222,0.4669240753753464,0.4414501681078628,0.4178504172323539,0.3961256110154641,0.3760081795339973,0.3574986348116012,0.34032913350149924,0.32423170442289423,0.30947490003978645,0.29552231758733827,0.2826424382235765,0.2702987275316818,0.2590279797276397,0.24829359145921095,0.23836399682628018
4.5,,10.003819851360491,11.05130485473307,10.466627995372344,9.160946337861496,7.7744518220114145,6.553772886178657,5.548010580331296,4.702316937308645,4.023600502070911,3.4764251321635045,3.0314472245191397,2.6658912912349235,2.3524920206498803,2.0906055304232445,1.8698878242068457,1.6820041885408,1.5208980290304643,1.3805605392000149,1.2585417707208928,1.1520334540356951,1.0584502061581638,0.9759780326937172,0.9025173312103808,0.837024188000756,0.7784470501899139,0.7257286521676355,0.6783430002715755,0.6352259103639439,0.5963823777026699,0.5607445882443328,0.528315285192315,0.49856060100446337,0.4712140886155971,0.4460088979621603,0.4229460437668015,0.40148995987766695,0.3816412361030663,0.36340038114738393,0.34623127918113483,0.3304024993271853,0.3156460212060344,0.3016937333911694,0.2888141140691812,0.27647064183426745,0.2652001025621745,0.25446590473935704
