Altitude_km,Mach_0.144,Mach_0.154,Mach_0.164,Mach_0.174,Mach_0.184,Mach_0.194,Mach_0.204,Mach_0.214,Mach_0.224,Mach_0.234,Mach_0.244,Mach_0.254,Mach_0.264,Mach_0.274,Mach_0.284,Mach_0.294,Mach_0.304,Mach_0.314,Mach_0.324,Mach_0.334,Mach_0.344,Mach_0.354,Mach_0.364,Mach_0.374,Mach_0.384,Mach_0.394,Mach_0.404,Mach_0.414,Mach_0.424,Mach_0.434,Mach_0.444,Mach_0.454,Mach_0.464,Mach_0.474,Mach_0.484,Mach_0.494,Mach_0.504,Mach_0.514,Mach_0.524,Mach_0.534,Mach_0.544,Mach_0.554,Mach_0.564,Mach_0.574,Mach_0.584,Mach_0.594,Mach_0.604,Mach_0.614,Mach_0.624,Mach_0.634,Mach_0.644,Mach_0.654,Mach_0.664,Mach_0.674,Mach_0.684,Mach_0.694,Mach_0.704,Mach_0.714,Mach_0.724,Mach_0.734,Mach_0.744,Mach_0.754,Mach_0.764,Mach_0.774,Mach_0.784,Mach_0.794
0.0,14453.223663752671,14312.047887483346,14172.140940619725,14033.245198977675,13895.103038373069,13757.456834621782,13620.055211487464,13482.889681703882,13346.26727936792,13210.516125400207,13075.964340721404,12942.940046252152,12811.771362913092,12682.786411624873,12556.313313308143,12432.680188883549,12312.203927480592,12194.764782348337,12079.67580128341,11966.212124787358,11853.648893361733,11741.261247508075,11628.324327727929,11514.113274522842,11397.903228394365,11278.969329844036,11156.610998590173,11031.07150890278,10903.820235498451,10776.408495450358,10650.38760583167,10527.30888371556,10408.723646175195,10296.18321028375,10191.238893114389,10095.442011740295,10010.310350158707,9936.058094040536,9871.206008722776,9814.161685411198,9763.332715311577,9717.126689629682,9673.951199571282,9632.21383634215,9590.32219114806,9546.683855194782,9499.731088774994,9448.855162935075,9394.693137610446,9337.965330904846,9279.39206092202,9219.693645765716,9159.590403539676,9099.802652347647,9041.05071029337,8984.05489548059,8929.528814741327,8877.925174219168,8829.35776083545,8783.917710969425,8741.696161000342,8702.784247307456,8667.273106270011,8635.253874267262,8606.817687678462,8582.05568288286
0.5,13955.22138065252,13816.88011842569,13679.453357934855,13542.91485826169,13407.238378487871,13272.39767769507,13138.368412976402,13005.200026619445,12873.037810489157,12742.033462239095,12612.338679522822,12484.105159993884,12357.484601305838,12232.628701112237,12109.689157066628,11988.81766682258,11870.16161708148,11753.70080627968,11639.19732976968,11526.398733440454,11415.05256318097,11304.906364880202,11195.707684427125,11087.204067710709,10979.143060619925,10871.272209043746,10763.34886045549,10655.51139891987,10548.393188511027,10442.660673650238,10338.980298758801,10238.018508258005,10140.441746569142,10046.916458113506,9958.10908731238,9874.686078587065,9797.29802903234,9725.979470924993,9659.964646553179,9598.434313478077,9540.569229260878,9485.550151462761,9432.55783764491,9380.773045368513,9329.376532194754,9277.549055684814,9224.484575174774,9169.89026899986,9114.140005127625,9057.652207515875,9000.845300122446,8944.137706905161,8887.947851821848,8832.694158830322,8778.795051888417,8726.668954953955,8676.731831002498,8629.303972324402,8584.581391606052,8542.75179571874,8504.002891533737,8468.522385922322,8436.497985755776,8408.117397905373,8383.5683292424,8363.038486638134
1.0,13525.266016689991,13389.090175390684,13253.860742782692,13119.719557206741,12986.808457003557,12855.269280513881,12725.242174244808,12596.801514671342,12469.936240670533,12344.629581180916,12220.864765141061,12098.625021489524,11977.893579164858,11858.653667105618,11740.888514250362,11624.581349537651,11509.716131633184,11396.305187345764,11284.39769470542,11174.045294571317,11065.299627802642,10958.21233525856,10852.835057798247,10749.219436280879,10647.417111565626,10547.479724511666,10449.459684088502,10353.439259554767,10259.539509740825,10167.8840858494,10078.59663908323,9991.800820645038,9907.620281737556,9826.178673563521,9747.59964732565,9672.006854226682,9599.5190279394,9530.063733159925,9463.320199322103,9398.9510591962,9336.618945552504,9275.986491161275,9216.716328792787,9158.471091217325,9100.913411205154,9043.705921526547,8986.5177021649,8929.268468513781,8872.203520229476,8815.589916312567,8759.69471576363,8704.784977583247,8651.127760772006,8598.990124330474,8548.639127259235,8500.341828558872,8454.363965382649,8410.91988806935,8370.157193668241,8332.219017993892,8297.248496860855,8265.388766083697,8236.78296147698,8211.57421885527,8189.905674033126,8171.920462825113
1.5,13145.310153150587,13011.088818175966,12878.122272070173,12746.661490589988,12616.95744949222,12489.261124533668,12363.819025160305,12240.704032984968,12119.763480924063,12000.829628094973,11883.734733615089,11768.311056601793,11654.390856172473,11541.806391444508,11430.389921535294,11319.973705562219,11210.394090381355,11101.646333690534,10993.932123991644,10887.46694590467,10782.466284049615,10679.145623046456,10577.72044751518,10478.406242075778,10381.418491348233,10286.972679952542,10195.280496855556,10106.406075008637,10020.22186688001,9936.587514608573,9855.362660333232,9776.406946192887,9699.58001432644,9624.74150687279,9551.751065970833,9480.468333759483,9410.753438150547,9342.48539147789,9275.567737607573,9209.90565988922,9145.404341672474,9081.968966306975,9019.50471714235,8957.916777528237,8897.110330814283,8836.990560350112,8777.466157799128,8718.582200522438,8660.56093572638,8603.636451176268,8548.042834637394,8494.014173875072,8441.784556654608,8391.588070741305,8343.658803900473,8298.23084389741,8255.535784891466,8215.708282110096,8178.757063679548,8144.682441805933,8113.484728695369,8085.164236553965,8059.721277587833,8037.1561640030895,8017.469208005847,8000.660721802216
2.0,12797.306371319826,12665.286806579186,12534.99712270423,12406.742853188598,12280.829531525938,12157.562691209896,12037.24149559052,11919.917468685675,11805.320442261767,11693.158748850567,11583.140720983854,11474.974691193405,11368.368992010994,11263.031955968396,11158.671915597388,11054.997203429748,10951.722112571624,10848.79265345792,10746.45584552937,10644.978825165234,10544.628728744763,10445.672692647198,10348.377853251803,10253.01134693782,10159.840310084504,10069.131879071108,9981.148326122979,9895.96282948265,9813.402927620746,9733.279742488487,9655.404396037098,9579.58801021779,9505.641706981789,9433.376608280312,9362.603836064578,9293.13451228581,9224.781350936446,9157.41895661147,9091.002331987629,9025.491852880794,8960.847895106832,8897.030834481622,8834.001046821024,8771.718907940909,8710.144793657164,8649.239079785642,8588.965630131224,8529.423904071453,8470.88950442872,8413.649805988318,8357.992183535554,8304.20401185572,8252.572665734111,8203.385519956028,8156.929949306766,8113.493328571624,8073.357856538647,8036.604515102711,8003.052898297491,7972.50513116592,7944.763338750944,7919.629646095501,7896.906178242527,7876.395060234969,7857.898417115768,7841.218373927861
2.5,12463.207252483226,12334.094900397988,12207.244471591815,12082.96583977974,11961.5688786768,11843.36346199803,11728.652115403082,11617.45170889884,11509.408035695662,11404.142089317,11301.274863286324,11200.427351127086,11101.220546362742,11003.275442516759,10906.213033112588,10809.654311673696,10713.226817449631,10616.812554791864,10520.624087219629,10424.89607007772,10329.86315871095,10235.760008464109,10142.821274682008,10051.281612709437,9961.3756778912,9873.338125572107,9787.400199257121,9703.66050717798,9622.045359655198,9542.46955204987,9464.847879723098,9389.09513803598,9315.126122349613,9242.855628025094,9172.198450423526,9103.069384906006,9035.382857567763,8969.03893929323,8903.919053040312,8839.903375494578,8776.872083341606,8714.70535326697,8653.28336195624,8592.486286094998,8532.194302368816,8472.287587463274,8412.65180721496,8353.386018206435,8294.866479146856,8237.487974630072,8181.645289249929,8127.733207600279,8076.1465142749685,8027.279993867849,7981.528430972767,7939.286610183574,7900.940747333889,7866.543947703283,7835.7165941796075,7808.0501500849105,7783.136078741252,7760.565843470686,7739.930907595267,7720.8227344370525,7702.8327873181,7685.552529560462
3.0,12124.965377926304,11999.923859430006,11877.623495639855,11758.332645140572,11642.319666516887,11529.852918353527,11421.193414465606,11316.316640749821,11214.827172237752,11116.304795363569,11020.329296561446,10926.480462265541,10834.338078910034,10743.481932929077,10653.49181075685,10563.947498827516,10474.43482426101,10384.774445836307,10295.092076963425,10205.533818366845,10116.245770771047,10027.374034900493,9939.064711479661,9851.463901233035,9764.717704885077,9678.972223160265,9594.373143624307,9511.050092295794,9429.111830675523,9348.665725853447,9269.819144919515,9192.679454963682,9117.354023075903,9043.950216346133,8972.575401864315,8903.336946720412,8836.338049315149,8771.519850255738,8708.612971343648,8647.333965054224,8587.39938386282,8528.525780244772,8470.429706675433,8412.827715630148,8355.436359584266,8297.972191013134,8240.16037710408,8182.060981972995,8124.169112691171,8067.008950982865,8011.1046785723365,7956.980477183839,7905.1605285416335,7856.169014369973,7810.530116393114,7768.768016335321,7731.395024286883,7698.461940567887,7669.420047983421,7643.680562573954,7620.654700379955,7599.753677441897,7580.388709800243,7561.971013495469,7543.911804568043,7525.622299058436
3.5,11764.533328934576,11645.184443472894,11528.8933717553,11415.845464048267,11306.226070618286,11200.220541731851,11098.007922645727,10999.522151363992,10904.378762900069,10812.172012859584,10722.496156848192,10634.945450471512,10549.114149335186,10464.596509044846,10380.986785206134,10297.87923342468,10214.872752251404,10131.746734735187,10048.515042661793,9965.207207757334,9881.852761747923,9798.481236359663,9715.122163318669,9631.80507435104,9548.559501182894,9465.414975540332,9382.404186590886,9299.682569037273,9217.565008373895,9136.377046459946,9056.444225154626,8978.092086317138,8901.646171806671,8827.432023482426,8755.775183203588,8687.001192829372,8621.42701744928,8559.036200231567,8499.379157475678,8441.977358883394,8386.352274156505,8332.025372996794,8278.518125106037,8225.352000186023,8172.048467938538,8118.1289980653655,8063.127027852367,8007.041234416749,7950.47465787204,7894.070728928047,7838.472878294594,7784.324536681494,7732.269134798563,7682.950103355612,7637.010873062461,7595.094874628923,7557.831254407328,7525.293854352602,7496.835156366463,7471.759432644108,7449.3709553807275,7428.973996771517,7409.872829011664,7391.371724296363,7372.774954820811,7353.3867927801975
4.0,11363.863686793546,11252.28741232429,11143.813276845074,11038.506491279975,10936.432266553078,10837.655813588462,10742.238169811062,10650.078127866715,10560.863718694613,10474.26888767434,10389.967580185506,10307.633741607697,10226.94131732051,10147.56425270354,10069.176493136381,9991.45198399863,9914.067220666439,9836.797829632433,9759.548212215735,9682.231375973894,9604.760328464447,9527.048077244934,9449.007629872898,9370.551993905872,9291.594176901408,9212.047186417038,9131.830355523187,9051.10892160357,8970.367560442459,8890.112296430092,8810.849153956715,8733.084157412573,8657.323331187907,8584.072699672966,8513.838287257988,8447.126118333223,8384.42985324081,8325.76249995328,8270.512682014429,8218.027294305739,8167.653231708693,8118.737389104778,8070.626661375475,8022.667943402268,7974.208130066645,7924.59411625009,7873.187447513572,7819.919214583306,7765.4603674998325,7710.531302346962,7655.852415208522,7602.144102168329,7550.126759310205,7500.520782717968,7454.046568475437,7411.42451266644,7373.360004704914,7339.975049713501,7310.633815986262,7284.649824306425,7261.336595457234,7240.007650221918,7219.9765093837195,7200.556693725867,7181.061724031606,7160.805121084167
4.5,10910.438263685293,10808.953215836738,10710.273842064118,10614.31522642159,10520.99245296331,10430.22060574344,10341.913757394457,10255.946661531527,10172.142994975564,10090.323020999353,10010.307002875701,9931.915203877392,9854.967887277218,9779.28531634797,9704.68775436244,9630.995464593432,9558.02872988847,9485.60859406331,9413.55708945831,9341.696314478611,9269.848367529346,9197.835347015638,9125.479351342627,9052.602478915442,8979.026828139216,8904.574497419078,8829.075844459,8752.682307205152,8675.962418194866,8599.512585099037,8523.929215588574,8449.80871733437,8377.747498007322,8308.341965278334,8242.188526818303,8179.883590298135,8122.009064156253,8068.583199168825,8018.892034872311,7972.172675893571,7927.662226859474,7884.597792396887,7842.216477132672,7799.755385693695,7756.451622706831,7711.542292798937,7664.280433183887,7614.5384603954635,7562.993386611309,7510.37599649021,7457.417074690964,7404.847405872361,7353.397774693194,7303.7989658122515,7256.781763888327,7213.076953580215,7173.401789328393,7137.947538336482,7106.222191783386,7077.688076361192,7051.807518761999,7028.042845677901,7005.8563838009895,6984.7104598233645,6964.06740043712,6943.389532334345
