Altitude_km,Mach_0.053,Mach_0.058,Mach_0.064,Mach_0.068,Mach_0.073,Mach_0.078,Mach_0.083,Mach_0.088,Mach_0.093,Mach_0.098,Mach_0.103,Mach_0.108,Mach_0.113,Mach_0.118,Mach_0.123,Mach_0.128,Mach_0.133
0.0,1943.4572471951183,2054.1517618695084,2174.1850893233536,2246.3189641804593,2327.901525214888,2400.43365478277,2463.130467427044,2515.5529529996425,2557.683331938078,2587.6276408749773,2603.065998416787,2601.1869266275885,2575.3438790903515,2516.026779825023,2401.8875647409595,2195.676530901537,1754.4315289474812
0.1,1935.6834182063378,2045.9351548220304,2165.48834896606,2237.3336883237375,2318.589919114029,2390.831920163639,2453.277945557336,2505.490741187644,2547.452598610326,2577.2771303114773,2592.65373442312,2590.7821789210784,2565.0425035739904,2505.962672705723,2392.280014481996,2186.8938247779306,1747.4138028316913
0.2,1927.9095892175571,2037.7185477745522,2156.7916086087666,2228.348412467016,2309.278313013169,2381.230185544508,2443.4254236876277,2495.428529375645,2537.221865282573,2566.9266197479774,2582.2414704294524,2580.377431214568,2554.7411280576284,2495.8985655864226,2382.672464223032,2178.1111186543244,1740.3960767159012
0.30000000000000004,1920.1357602287771,2029.5019407270745,2148.0948682514736,2219.363136610294,2299.9667069123097,2371.6284509253774,2433.57290181792,2485.366317563647,2526.9911319548214,2556.576109184478,2571.829206435786,2569.972683508058,2544.439752541268,2485.8344584671227,2373.0649139640686,2169.3284125307187,1733.3783506001116
0.4,1912.3619312399965,2021.2853336795963,2139.3981278941797,2210.377860753572,2290.6551008114498,2362.026716306246,2423.7203799482118,2475.304105751648,2516.7603986270688,2546.2255986209775,2561.4169424421184,2559.5679358015473,2534.138377024906,2475.7703513478227,2363.4573637051044,2160.5457064071124,1726.3606244843215
0.5,1904.5881022512158,2013.0687266321181,2130.701387536886,2201.39258489685,2281.34349471059,2352.4249816871147,2413.867858078503,2465.2418939396493,2506.529665299316,2535.8750880574776,2551.004678448451,2549.1631880950367,2523.8370015085443,2465.7062442285223,2353.8498134461406,2151.763000283506,1719.3428983685315
0.6000000000000001,1896.8142732624358,2004.8521195846408,2122.0046471795936,2192.407309040129,2272.031888609731,2342.823247067984,2404.015336208796,2455.1796821276516,2496.298931971565,2525.5245774939785,2540.592414454785,2538.758440388527,2513.5356259921837,2455.642137109223,2344.2422631871773,2142.9802941599005,1712.325172252742
0.7000000000000001,1889.0404442736549,1996.6355125371622,2113.3079068222996,2183.4220331834067,2262.720282508871,2333.2215124488525,2394.162814339087,2445.1174703156526,2486.0681986438117,2515.1740669304777,2530.180150461117,2528.353692682016,2503.2342504758217,2445.578029989922,2334.634712928213,2134.197588036294,1705.3074461369517
0.8,1881.2666152848747,1988.4189054896842,2104.611166465006,2174.436757326685,2253.4086764080116,2323.6197778297214,2384.310292469379,2435.055258503654,2475.8374653160595,2504.823556366978,2519.76788646745,2517.948944975506,2492.9328749594606,2435.513922870622,2325.0271626692493,2125.4148819126876,1698.2897200211619
0.9,1873.492786296094,1980.202298442206,2095.9144261077126,2165.451481469963,2244.097070307152,2314.0180432105903,2374.4577705996708,2424.9930466916553,2465.606731988307,2494.473045803478,2509.3556224737827,2507.5441972689955,2482.631499443099,2425.449815751322,2315.419612410285,2116.6321757890814,1691.2719939053718
1.0,1865.7189573073135,1971.985691394728,2087.217685750419,2156.466205613241,2234.7854642062925,2304.4163085914593,2364.6052487299626,2414.9308348796567,2455.3759986605546,2484.1225352399783,2498.9433584801154,2497.139449562485,2472.3301239267375,2415.3857086320218,2305.8120621513212,2107.849469665475,1684.254267789582
1.1,1857.945128318533,1963.76908434725,2078.520945393126,2147.4809297565193,2225.473858105433,2294.8145739723286,2354.7527268602544,2404.868623067658,2445.1452653328024,2473.7720246764784,2488.5310944864486,2486.734701855975,2462.0287484103765,2405.321601512722,2296.2045118923575,2099.0667635418695,1677.236541673792
1.2000000000000002,1850.1712993297529,1955.5524772997721,2069.8242050358326,2138.4956538997976,2216.162252004574,2285.2128393531975,2344.900204990546,2394.80641125566,2434.91453200505,2463.4215141129785,2478.1188304927814,2476.3299541494644,2451.727372894015,2395.257494393422,2286.596961633394,2090.2840574182633,1670.2188155580022
1.3,1842.3974703409724,1947.3358702522942,2061.1274646785396,2129.510378043076,2206.8506459037144,2275.6111047340664,2335.0476831208384,2384.7441994436613,2424.683798677298,2453.071003549479,2467.7065664991146,2465.9252064429543,2441.425997377654,2385.193387274122,2276.9894113744303,2081.501351294657,1663.2010894422124
1.4000000000000001,1834.6236413521915,1939.1192632048158,2052.4307243212456,2120.5251021863537,2197.539039802854,2266.009370114935,2325.1951612511293,2374.681987631662,2414.4530653495453,2442.720492985978,2457.294302505447,2455.5204587364433,2431.124621861292,2375.129280154821,2267.3818611154657,2072.7186451710504,1656.183363326422
1.5,1826.8498123634113,1930.902656157338,2043.7339839639524,2111.539826329632,2188.227433701995,2256.4076354958042,2315.3426393814216,2364.619775819664,2404.2223320217936,2432.3699824224786,2446.88203851178,2445.1157110299337,2420.823246344931,2365.0651730355216,2257.7743108565023,2063.9359390474447,1649.1656372106324
1.6,1819.0759833746308,1922.68604910986,2035.037243606659,2102.5545504729103,2178.915827601136,2246.805900876673,2305.490117511714,2354.5575640076654,2393.9915986940414,2422.019471858979,2436.469774518113,2434.710963323423,2410.5218708285693,2355.0010659162217,2248.1667605975385,2055.153232923839,1642.1479110948426
1.7000000000000002,1811.3021543858506,1914.4694420623823,2026.3405032493658,2093.5692746161885,2169.6042215002763,2237.204166257542,2295.6375956420056,2344.4953521956672,2383.760865366289,2411.668961295479,2426.057510524446,2424.306215616913,2400.220495312208,2344.9369587969218,2238.5592103385748,2046.3705268002327,1635.1301849790527
1.8,1803.52832539707,1906.252835014904,2017.6437628920721,2084.5839987594663,2160.2926153994163,2227.602431638411,2285.7850737722974,2334.433140383668,2373.5301320385365,2401.3184507319793,2415.6452465307784,2413.9014679104025,2389.9191197958467,2334.8728516776214,2228.951660079611,2037.5878206766263,1628.1124588632626
1.9000000000000001,1795.7544964082892,1898.0362279674257,2008.9470225347786,2075.5987229027446,2150.9810092985567,2218.0006970192794,2275.932551902589,2324.3709285716695,2363.299398710784,2390.967940168479,2405.232982537111,2403.496720203892,2379.6177442794847,2324.808744558321,2219.3441098206467,2028.80511455302,1621.0947327474726
2.0,1787.980667419509,1889.8196209199482,2000.2502821774856,2066.613447046023,2141.6694031976976,2208.398962400149,2266.080030032881,2314.3087167596714,2353.068665383032,2380.6174296049794,2394.8207185434444,2393.091972497382,2369.316368763124,2314.7446374390215,2209.7365595616834,2020.0224084294143,1614.077006631683
2.1,1780.2068384307286,1881.6030138724698,1991.5535418201919,2057.628171189301,2132.3577970968377,2198.7972277810177,2256.227508163173,2304.2465049476727,2342.8379320552795,2370.2669190414795,2384.408454549777,2382.6872247908714,2359.0149932467625,2304.680530319721,2200.129009302719,2011.239702305808,1607.0592805158929
2.2,1772.433009441948,1873.3864068249916,1982.8568014628984,2048.642895332579,2123.046190995978,2189.195493161886,2246.374986293464,2294.1842931356737,2332.607198727527,2359.916408477979,2373.99619055611,2372.282477084361,2348.7136177304005,2294.6164232004207,2190.5214590437554,2002.4569961822015,1600.0415544001028
2.3000000000000003,1764.6591804531674,1865.1697997775136,1974.160061105605,2039.6576194758572,2113.7345848951186,2179.5937585427555,2236.5224644237564,2284.1220813236755,2322.3764653997746,2349.5658979144796,2363.5839265624427,2361.8777293778503,2338.4122422140395,2284.552316081121,2180.9139087847916,1993.6742900585955,1593.023828284313
2.4000000000000004,1756.885351464387,1856.9531927300359,1965.4633207483116,2030.6723436191355,2104.422978794259,2169.9920239236244,2226.6699425540482,2274.059869511677,2312.1457320720224,2339.2153873509797,2353.171662568776,2351.47298167134,2328.110866697678,2274.488208961821,2171.306358525828,1984.8915839349895,1586.006102168523
2.5,1749.1115224756063,1848.7365856825575,1956.7665803910181,2021.6870677624133,2095.111372693399,2160.3902893044933,2216.8174206843396,2263.9976576996783,2301.91499874427,2328.8648767874793,2342.759398575108,2341.0682339648297,2317.8094911813164,2264.4241018425205,2161.6988082668636,1976.108877811383,1578.988376052733
