Altitude_km,Mach_0.053,Mach_0.058,Mach_0.064,Mach_0.068,Mach_0.073,Mach_0.078,Mach_0.083,Mach_0.088,Mach_0.093,Mach_0.098,Mach_0.103,Mach_0.108,Mach_0.113,Mach_0.118,Mach_0.123,Mach_0.128,Mach_0.133
0.0,,1090.12813647544,1196.840886700126,1244.9268206342783,1280.3300225650476,1289.3617179458527,1271.6069243314028,1226.803891545509,1154.96797452143,1054.1620192697872,918.3228946808672,744.2262608448666,526.8117620190205,256.12343241499593,,,
0.125,,1073.6968046728903,1181.927620144279,1231.1094485574815,1268.0041105105086,1278.6840427876639,1262.7639102072637,1220.0057272398312,1150.4516051447479,1052.1717086654419,919.1919339494405,748.2766156471635,534.4245919037501,267.7548207675104,,,
0.25,,1057.0648618668738,1166.8152121774046,1217.0900486341775,1255.4676058736243,1267.7863028261586,1253.6908976551076,1212.9629905141915,1145.658412140648,1049.8962727046392,919.7105460542232,751.9625090234354,541.6271431976522,278.91469225372975,,,
0.375,,1040.2323046638144,1151.5033672311185,1202.8651396992777,1242.7191252364162,1256.667395969829,1244.3804546626288,1205.6616783713096,1140.5955132658532,1047.3168511119509,919.9182535314399,755.2803386431142,548.4529694342343,289.64900556676685,,,
0.5,,1023.1867792999903,1135.9846313832104,1188.4340394437017,1229.7594772871576,1245.3256857213714,1234.8336000650427,1198.1106419873875,1135.2597585876824,1044.4312410861924,919.8095313120959,758.253613336296,554.8952658901005,299.99730012922373,,,
0.625,,1005.936511442508,1120.2548107110852,1173.793091275957,1216.5819385869004,1233.7596102508346,1225.0504408438128,1190.30709047143,1129.6484783273158,1041.2627947540432,919.3612975137048,760.8766760562542,560.9481207021113,309.8604104997248,,,
0.75,,988.4732282300596,1104.3171895779174,1158.9416718855432,1203.1894170851333,1221.9677833197152,1215.0289589225251,1182.2526415468742,1123.7669338532435,1037.7824919499092,918.6067764689722,763.1689004579682,566.6064672086634,319.3240419448639,0.20212483058321595,,
0.875,,970.7927159550549,1088.1677525779937,1143.8726117565607,1189.5790737637406,1209.9481304405278,1204.7684799544838,1173.936969722932,1117.6118459093393,1034.0120440106764,917.5233105435168,765.0765491249522,571.8660371547601,328.37952301503447,13.53868834976629,,
1.0,,952.8950438002514,1071.8023502575456,1128.588534548816,1175.7451720318427,1197.6992105064985,1194.2661087792858,1165.3660991960264,1111.1739285864014,1029.9473273046708,916.107977728987,766.643679534887,576.7532975550146,336.9799063921205,26.407186776193157,,
1.125,,934.7716705277519,1055.2207299127867,1113.0890857919742,1161.6891018933925,1185.219865531064,1183.5217505900102,1156.540608461724,1104.464314973032,1025.5847976731402,914.3734134061774,767.8432878931178,581.2617101691128,345.19880855672454,38.85022075483448,,
1.25,,916.4270757783481,1038.4146288748784,1097.363136140875,1147.4074298236833,1172.5061131906218,1172.532722202105,1147.455004028167,1097.4797036485068,1020.9308593976343,912.3155083826528,768.7137074297559,585.3856152080982,352.9533598924204,50.8105414012839,,
1.375,,,1021.3878621391304,1081.417351896269,1132.8964190885476,1159.5579520281776,1161.2984740528327,1138.1099818291932,1090.217284238214,1015.9636589019262,909.9307823417557,769.2091601750417,589.1201838216559,360.31284465384783,62.284250012927714,,
1.5,,,1004.1320297318205,1065.2401686005264,1118.1581711906445,1146.3744855317143,1149.8169521469397,1128.5034050591655,1082.679404594784,1010.7077278762472,907.2291253284864,769.365551048814,592.461371454908,367.2689730091829,73.31149808176542,,
1.625,,,986.6469332366805,1048.8387253470564,1103.1859716399022,1132.9509193998335,1138.0863638799126,1118.6335257850164,1074.8586262976175,1005.1505548557491,904.2061175223614,769.1772041277882,595.4299673702999,373.78246769282237,83.92647218860384,,
1.75,,,968.9282061430902,1032.2010627371908,1087.9789566484073,1119.2858544160422,1126.105060635759,1108.5014684525454,1066.7573603103342,999.289554588077,900.8579866865207,768.6392144423257,598.0201250098123,379.8817770981061,94.03831273796732,,
1.875,,,950.9757901495764,1015.3307104447049,1072.5364939968692,1105.378177951547,1113.870746703558,1098.1024967027827,1058.373353419707,993.1293158959695,897.18157245323,767.731605672431,600.2268380921882,385.5614553553171,103.72318878988881,,
