Altitude_km,Mach_0.053,Mach_0.058,Mach_0.064,Mach_0.068,Mach_0.073,Mach_0.078,Mach_0.083,Mach_0.088,Mach_0.093,Mach_0.098,Mach_0.103,Mach_0.108,Mach_0.113,Mach_0.118,Mach_0.123,Mach_0.128,Mach_0.133
0.0,,1090.12813647544,1196.840886700126,1244.9268206342783,1280.3300225650476,1289.3617179458527,1271.6069243314028,1226.803891545509,1154.96797452143,1054.1620192697872,918.3228946808672,744.2262608448666,526.8117620190205,256.12343241499593,,,
0.125,,1073.7144799691987,1181.9513679378956,1231.137933081431,1268.0393520434104,1278.7270327603323,1262.8157092444592,1220.0674625826457,1150.5244724343693,1052.2569727426712,919.2938938933851,748.3998620988054,534.5722980601447,267.9304539407026,,,
0.25,,1057.0996409303016,1166.861939779913,1217.1460966808636,1255.5369492595491,1267.870893194939,1253.7928192872512,1213.0844635988724,1145.8017910373037,1050.064041294441,919.9111721041852,752.2050173095054,541.9177827879992,279.26028377341663,,,
0.375,,1040.2836277651604,1151.5723227088533,1202.9478486292815,1242.8214533057933,1256.7922234675102,1244.5308587016466,1205.84093589456,1140.8070942946758,1047.5644229796462,920.2143133065333,755.6382086352569,548.8818606641646,290.15899295500503,,,
0.5,,1023.254097086835,1136.0750773177394,1188.5425253150268,1229.89369748782,1245.489416386075,1235.0308796800205,1198.3457666471968,1135.5372794322245,1044.7559739325454,920.1978555991691,758.7230174772521,555.4578201437173,300.66621372674854,,,
0.625,,1006.0192869125842,1120.3660239215574,1173.9264876934253,1216.7469766754034,1233.9609363250909,1225.293020047233,1190.596204134029,1129.9897245902864,1041.6620880459168,919.8276671870078,761.4196608220618,561.5761813203974,310.58255968591993,,,
0.75,,988.5709348064121,1104.4484631029009,1159.0991309218966,1203.3842250388868,1222.2054249357157,1215.3152948620814,1182.5938999530372,1124.1697317709043,1038.2538166166419,919.148507035058,763.7828975154923,567.2977189867704,320.09746451534875,1.0625496959660268,,
0.875,,970.9048376340583,1088.3183938091215,1144.0533004646154,1189.8026247378355,1210.220832274966,1205.0970583538758,1174.3285801430084,1118.0740675639545,1034.5529081403563,918.137786089553,765.7590778380331,572.6182181832874,329.2023001153116,14.432364805720681,,
1.0,,953.0210758504501,1071.9716804726368,1128.7916397085153,1175.9964564001723,1198.0057445348807,1194.6354532883372,1165.806297044116,1111.6935024571417,1030.5552917301975,916.7926418901338,767.3922829769285,577.5641768250871,337.85018969742896,27.33275168456794,,
1.125,,934.9061594764423,1055.3964278413737,1113.2958345349016,1161.9387137526264,1185.5168240566811,1183.87047075659,1156.9454024062445,1104.9293313072974,1026.1139719347373,914.9626155364961,768.4875222049,581.9595232773529,345.9477342169789,39.646719640802075,,
1.25,,916.5697023797447,1038.5964283481724,1097.5733400399706,1147.6553438463943,1172.7937108304302,1172.8613896063243,1147.8254276242308,1097.8917984728203,1021.3836486686571,912.8121869558602,769.2567682076094,585.9738439102839,353.5846894576184,51.481960847656865,,
