Altitude_km,Mach_0.030,Mach_0.080,Mach_0.130,Mach_0.180
0.0,,0.20260289996827746,0.0767253585678684,0.04002032591965975
0.5,,0.21504934498999803,0.08143880520331286,0.04247888296098728
1.0,,0.22841659870851272,0.08650096045766163,0.04511932813995314
1.5,,0.24278461461043715,0.09194210257436673,0.047957454737864134
2.0,,0.25824134052615655,0.09779553724067468,0.05101063516566057
2.5,,0.2748836257189106,0.10409794110065253,0.054298000142007044
3.0,,0.29281824342663376,0.11088974898996784,0.05784064067686594
3.5,,0.31216304518569393,0.11821559107623913,0.06166183608606301
4.0,,0.33304826581223285,0.12612478705315328,0.06578731176537934
4.5,,0.3556180008984193,0.13467190566567355,0.07024553104166308
5.0,,0.3800318821785663,0.14391739916821444,0.07506802610934643
5.5,,0.4064669802310335,0.15392832387447422,0.08028977387279675
6.0,,0.43511996882334153,0.1647791597910879,0.08594962347127734
6.5,,0.4662095909214935,0.17655274449097977,0.09209078339189995
7.0,,0.4999794731413289,0.18934133894109495,0.09876137741063289
7.5,,0.536701343427568,0.20324784603174173,0.10601508018322332
8.0,,0.5766787162576535,0.2183872061567445,0.113911845186697
8.5,,0.6202511209904714,0.2348879984815986,0.12251873994873509
9.0,,0.6677989624910479,0.2528942816534146,0.1319109061710712
9.5,,0.7197491193226861,0.27256771382634265,0.14217266554522195
10.0,,0.7765814041748408,0.2940899992141409,0.15339879588638836
10.5,,0.838836034487183,0.3176657172022468,0.16569600681228305
