Altitude_km,Mach_0.030,Mach_0.040,Mach_0.050,Mach_0.060,Mach_0.070,Mach_0.080,Mach_0.090,Mach_0.100,Mach_0.110,Mach_0.120,Mach_0.130,Mach_0.140,Mach_0.150,Mach_0.160,Mach_0.170,Mach_0.180,Mach_0.190,Mach_0.200,Mach_0.210,Mach_0.220,Mach_0.230,Mach_0.240,Mach_0.250,Mach_0.260,Mach_0.270,Mach_0.280,Mach_0.290,Mach_0.300,Mach_0.310,Mach_0.320,Mach_0.330,Mach_0.340,Mach_0.350,Mach_0.360,Mach_0.370,Mach_0.380,Mach_0.390,Mach_0.400,Mach_0.410,Mach_0.420,Mach_0.430,Mach_0.440,Mach_0.450,Mach_0.460,Mach_0.470,Mach_0.480,Mach_0.490
0.0,,,0.053809240353692,0.046381562694268,0.042938088882108004,0.0410332112732,0.039807074112448,0.038911892446623,0.038462967108592,0.038112017755175004,0.037818786769503,0.037561163680192,0.037326293330182996,0.037288450704574996,0.037260806777183,0.037240192132028,0.037224602637248,0.037212626393948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,,,0.055685379874662995,0.047364278070527,0.043532201270208,0.041433562380175,0.040099661416448,0.039138426786183005,0.038649858859375004,0.038271416307548003,0.03795808795315199,0.037684887579387996,0.037437350368823,0.037394709189631996,0.037363541956508005,0.037340353838528,0.037322796617783,0.037309285288367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,,0.057810563404375,0.048470184744143,0.044194568252891996,0.04187443711874799,0.040416931632128,0.039380071811126995,0.038846895443068,0.038438036961728,0.038102636257499996,0.037812572861767,0.037551350522063,0.0374852487287,0.037432095903548006,0.037387933227008,0.037350086765807,0.037316888638175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5,,,0.060222018012863004,0.049717831927708005,0.044934976717647,0.042361232368988,0.040762513357423,0.039638837226108,0.039055739238748,0.038612935468699996,0.038253239887452,0.037944705892287996,0.037668798029852,0.037578482414299993,0.037502763029903,0.037437169091312,0.037378751750912,0.037325571777575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
