Altitude_km,Mach_0.053,Mach_0.058,Mach_0.064,Mach_0.068,Mach_0.073,Mach_0.078,Mach_0.083,Mach_0.088,Mach_0.093,Mach_0.098,Mach_0.103,Mach_0.108,Mach_0.113,Mach_0.118,Mach_0.123,Mach_0.128,Mach_0.133
0.0,,964.0236253940683,977.3442026232276,1001.3921435461809,1047.5715026498403,1111.0719368369175,1191.5235430956413,1288.7490614541334,1402.715357416648,1533.46562160519,1684.7431037359197,1856.960665782722,2048.532117071331,2259.903347410027,2491.602448548427,2744.1507843977543,3018.165193222608
0.125,,970.1841983872707,981.3865437324579,1003.9779208020757,1048.2579070783052,1109.7474437211924,1188.0509048826455,1282.9694609948128,1394.4433101336397,1522.5177940051606,1670.858734475263,1839.9043763472873,2028.04256779115,2235.6918251583875,2463.4211636838118,2711.7113884674013,2981.0048330117424
0.25,,976.5453823839399,985.6280262527152,1006.7657259044776,1049.1549040891152,1108.6430154087839,1184.8082650976662,1277.4344329554547,1386.4480864780496,1511.8550917615885,1657.3247923783963,1823.2125483378777,2007.9632971017961,2211.951819773043,2435.7254266663667,2679.7631165182383,2944.5368857403364
0.375,,983.1071807776517,990.0689457523847,1009.759040018475,1050.2638771002491,1107.7597539912001,1181.80305575301,1272.1579803333386,1378.7225686931538,1501.496375149902,1644.1017549090957,1806.8887840850607,1988.2607514697622,2188.637372560881,2408.4602989308155,2648.31708415595,2908.6644878944553
0.5,,989.8819473321278,994.7167561536758,1012.9585454531484,1051.5840174234327,1107.0992959657433,1179.0342580134604,1267.131251952262,1371.2699067116337,1491.4438469712852,1631.1951471363552,1790.9095747587407,1968.9417356184438,2165.7089440992986,2381.7544799522443,2617.4566048485563,2873.3029693837693
0.625,,996.8614563802627,999.5756513791845,1016.3678987999907,1053.1220484976157,1106.6632031623662,1176.5017648975554,1262.3570387032214,1364.0927703123102,1481.6741550990596,1618.6280509426624,1775.2805774056449,1950.0121614109817,2143.2656998296725,2355.4358658631577,2587.040473802152,2838.5547738070068
0.75,,1004.0539807833637,1004.6423470657356,1019.9877233695024,1054.875062373308,1106.4528618195718,1174.2075944817077,1257.8337228627788,1357.185898126692,1472.2163196988188,1606.3672419953116,1759.9824183707926,1931.4770955089778,2121.2219344854084,2329.628812968148,2557.1521803693904,2804.338868647152
0.875,,1011.4637342490211,1009.9208586190424,1023.825188677583,1056.8458980686266,1106.4703464248457,1172.152421112614,1253.5716299217231,1350.5525694109062,1463.0486294336768,1594.435377928683,1745.068835070671,1913.3408061674293,2099.586319516113,2304.28281162526,2527.797855311731,2770.666907191325
1.0,,1019.0906475944766,1015.4153354928734,1027.8776710644252,1059.0402921744499,1106.7170980849608,1170.3391399506768,1249.5647356836303,1344.2020700741532,1454.1752079353075,1582.8353807511285,1730.495770027598,1895.576826371723,2078.4058022399013,2279.404875375128,2498.982552673558,2737.5490773257484
1.125,,1026.9432620576288,1021.1260303910159,1032.1455250003648,1061.4568546868259,1107.1942747864819,1168.767845802817,1245.8124616529346,1338.1232670278325,1445.5995993624633,1571.5546150818545,1716.2902270362295,1878.191694362173,2057.6067661761726,2254.9524035727823,2470.6490235878923,2705.0703561638165
