Altitude_km,Mach_perm,CL_perm,V_perm_ms
0.0,0.0598,1.1327,20.35
0.01124,0.0535,1.13269,18.2
0.04261,0.0536,1.13267,18.23
0.0739,0.0537,1.13266,18.26
0.1051,0.0538,1.13265,18.29
0.13622,0.0539,1.13263,18.31
0.16727,0.054,1.13262,18.34
0.19823,0.0541,1.1326,18.37
0.22912,0.0542,1.13258,18.4
0.25993,0.0543,1.13257,18.42
0.29066,0.0544,1.13255,18.45
0.32131,0.0545,1.13254,18.48
0.35188,0.0546,1.13252,18.51
0.38238,0.0547,1.1325,18.53
0.4128,0.0548,1.13249,18.56
0.44314,0.0549,1.13247,18.59
0.47341,0.055,1.13246,18.62
0.5036,0.0551,1.13244,18.64
0.53371,0.0552,1.13242,18.67
0.56375,0.0553,1.13241,18.7
0.59371,0.0554,1.1324,18.73
0.6236,0.0555,1.13238,18.75
0.65342,0.0556,1.13237,18.78
0.68316,0.0557,1.13235,18.81
0.71283,0.0558,1.13234,18.84
0.74242,0.0559,1.13232,18.86
0.77194,0.056,1.1323,18.89
0.80139,0.0561,1.13229,18.92
0.83076,0.0562,1.13227,18.94
0.86007,0.0563,1.13226,18.97
0.8893,0.0564,1.13224,19.0
0.91846,0.0565,1.13222,19.03
0.94755,0.0566,1.13221,19.05
0.97656,0.0567,1.13219,19.08
1.00551,0.0568,1.13218,19.11
1.03439,0.0569,1.13217,19.14
1.06319,0.057,1.13215,19.16
1.09193,0.0571,1.13214,19.19
1.1206,0.0572,1.13212,19.22
1.1492,0.0573,1.1321,19.24
1.17772,0.0574,1.13209,19.27
1.20618,0.0575,1.13207,19.3
1.23458,0.0576,1.13206,19.33
1.2629,0.0577,1.13204,19.35
1.29116,0.0578,1.13202,19.38
1.31934,0.0579,1.13201,19.41
1.34746,0.058,1.13199,19.44
1.37552,0.0581,1.13198,19.46
1.40351,0.0582,1.13196,19.49
1.43143,0.0583,1.13194,19.52
1.45928,0.0584,1.13194,19.54
1.48707,0.0585,1.13192,19.57
1.51479,0.0586,1.1319,19.6
1.54245,0.0587,1.13189,19.63
1.57004,0.0588,1.13187,19.65
1.59757,0.0589,1.13186,19.68
1.62504,0.059,1.13184,19.71
1.65244,0.0591,1.13182,19.73
1.67977,0.0592,1.13181,19.76
1.70704,0.0593,1.13179,19.79
1.73425,0.0594,1.13178,19.81
1.76139,0.0595,1.13176,19.84
1.78848,0.0596,1.13174,19.87
1.81549,0.0597,1.13173,19.9
1.84245,0.0598,1.13171,19.92
1.86934,0.0599,1.1317,19.95
1.89618,0.06,1.13169,19.98
1.92295,0.0601,1.13167,20.0
1.94965,0.0602,1.13166,20.03
1.9763,0.0603,1.13164,20.06
2.00289,0.0604,1.13162,20.08
2.02941,0.0605,1.13161,20.11
2.05588,0.0606,1.13159,20.14
2.08228,0.0607,1.13158,20.17
2.10863,0.0608,1.13156,20.19
2.13491,0.0609,1.13154,20.22
2.16114,0.061,1.13153,20.25
2.1873,0.0611,1.13151,20.27
2.21341,0.0612,1.1315,20.3
2.23946,0.0613,1.13148,20.33
2.26545,0.0614,1.13147,20.35
2.29138,0.0615,1.13146,20.38
2.31725,0.0616,1.13144,20.41
2.34306,0.0617,1.13142,20.43
2.36882,0.0618,1.13141,20.46
2.39452,0.0619,1.13139,20.49
2.42016,0.062,1.13138,20.51
2.44574,0.0621,1.13136,20.54
2.47127,0.0622,1.13134,20.57
2.49674,0.0623,1.13133,20.6
2.52215,0.0624,1.13131,20.62
2.54751,0.0625,1.1313,20.65
2.57281,0.0626,1.13128,20.68
2.59806,0.0627,1.13126,20.7
2.62325,0.0628,1.13125,20.73
2.64838,0.0629,1.13124,20.76
2.67346,0.063,1.13122,20.78
2.69849,0.0631,1.13121,20.81
2.72346,0.0632,1.13119,20.84
2.74837,0.0633,1.13118,20.86
2.77323,0.0634,1.13116,20.89
2.79804,0.0635,1.13114,20.92
2.82279,0.0636,1.13113,20.94
2.84749,0.0637,1.13111,20.97
2.87214,0.0638,1.1311,21.0
2.89673,0.0639,1.13108,21.02
2.92127,0.064,1.13106,21.05
2.94575,0.0641,1.13105,21.08
2.97018,0.0642,1.13103,21.1
2.99456,0.0643,1.13102,21.13
3.01889,0.0644,1.13101,21.16
3.04317,0.0645,1.13099,21.18
3.06739,0.0646,1.13098,21.21
3.09156,0.0647,1.13096,21.24
3.11568,0.0648,1.13094,21.26
3.13975,0.0649,1.13093,21.29
3.16377,0.065,1.13091,21.32
3.18774,0.0651,1.1309,21.34
3.21165,0.0652,1.13088,21.37
3.23552,0.0653,1.13086,21.4
3.25933,0.0654,1.13085,21.42
3.2831,0.0655,1.13083,21.45
3.30681,0.0656,1.13082,21.47
3.33047,0.0657,1.1308,21.5
3.35409,0.0658,1.13078,21.53
3.37765,0.0659,1.13077,21.55
3.40117,0.066,1.13076,21.58
3.42463,0.0661,1.13074,21.61
3.44805,0.0662,1.13073,21.63
3.47142,0.0663,1.13071,21.66
3.49474,0.0664,1.1307,21.69
3.51801,0.0665,1.13068,21.71
3.54123,0.0666,1.13066,21.74
3.56441,0.0667,1.13065,21.77
3.58753,0.0668,1.13063,21.79
3.61061,0.0669,1.13062,21.82
3.63364,0.067,1.1306,21.85
3.65663,0.0671,1.13058,21.87
3.67956,0.0672,1.13057,21.9
3.70245,0.0673,1.13055,21.92
3.72529,0.0674,1.13054,21.95
3.74809,0.0675,1.13053,21.98
3.77084,0.0676,1.13051,22.0
3.79354,0.0677,1.1305,22.03
3.81619,0.0678,1.13048,22.06
3.8388,0.0679,1.13046,22.08
3.86136,0.068,1.13045,22.11
3.88388,0.0681,1.13043,22.14
3.90635,0.0682,1.13042,22.16
3.92878,0.0683,1.1304,22.19
3.95116,0.0684,1.13038,22.22
3.9735,0.0685,1.13037,22.24
3.99579,0.0686,1.13035,22.27
4.01803,0.0687,1.13034,22.29
4.04023,0.0688,1.13032,22.32
4.06239,0.0689,1.1303,22.35
4.0845,0.069,1.1303,22.37
4.10657,0.0691,1.13028,22.4
4.12859,0.0692,1.13026,22.43
4.15057,0.0693,1.13025,22.45
4.17251,0.0694,1.13023,22.48
4.1944,0.0695,1.13022,22.5
4.21625,0.0696,1.1302,22.53
4.23805,0.0697,1.13018,22.56
4.25981,0.0698,1.13017,22.58
4.28153,0.0699,1.13015,22.61
4.30321,0.07,1.13014,22.64
4.32484,0.0701,1.13012,22.66
4.34643,0.0702,1.1301,22.69
4.36798,0.0703,1.13009,22.71
4.38948,0.0704,1.13007,22.74
4.41095,0.0705,1.13006,22.77
4.43237,0.0706,1.13005,22.79
4.45375,0.0707,1.13003,22.82
4.47508,0.0708,1.13002,22.84
4.49638,0.0709,1.13,22.87
4.51763,0.071,1.12998,22.9
4.53885,0.0711,1.12997,22.92
4.56002,0.0712,1.12995,22.95
4.58115,0.0713,1.12994,22.98
4.60224,0.0714,1.12992,23.0
4.62329,0.0715,1.1299,23.03
4.64429,0.0716,1.12989,23.05
4.66526,0.0717,1.12987,23.08
4.68619,0.0718,1.12986,23.11
4.70707,0.0719,1.12984,23.13
4.72792,0.072,1.12983,23.16
4.74873,0.0721,1.12982,23.18
4.76949,0.0722,1.1298,23.21
4.79022,0.0723,1.12978,23.24
4.81091,0.0724,1.12977,23.26
4.83155,0.0725,1.12975,23.29
4.85216,0.0726,1.12974,23.31
4.87273,0.0727,1.12972,23.34
4.89326,0.0728,1.1297,23.37
4.91375,0.0729,1.12969,23.39
4.9342,0.073,1.12967,23.42
4.95462,0.0731,1.12966,23.44
4.97499,0.0732,1.12964,23.47
4.99533,0.0733,1.12962,23.5
5.01563,0.0734,1.12961,23.52
5.03589,0.0735,1.1296,23.55
5.05611,0.0736,1.12958,23.57
5.07629,0.0737,1.12957,23.6
5.09644,0.0738,1.12955,23.63
5.11655,0.0739,1.12954,23.65
5.13662,0.074,1.12952,23.68
5.15665,0.0741,1.1295,23.7
5.17664,0.0742,1.12949,23.73
5.1966,0.0743,1.12947,23.76
5.21652,0.0744,1.12946,23.78
5.23641,0.0745,1.12944,23.81
5.25625,0.0746,1.12942,23.83
5.27607,0.0747,1.12941,23.86
