Altitude_km,Mach_0.053,Mach_0.058,Mach_0.064,Mach_0.068,Mach_0.073,Mach_0.078,Mach_0.083,Mach_0.088,Mach_0.093,Mach_0.098,Mach_0.103,Mach_0.108,Mach_0.113,Mach_0.118,Mach_0.123,Mach_0.128,Mach_0.133
0.0,1943.4572471951183,2054.1517618695084,2174.1850893233536,2246.3189641804593,2327.901525214888,2400.43365478277,2463.130467427044,2515.5529529996425,2557.683331938078,2587.6276408749773,2603.065998416787,2601.1869266275885,2575.3438790903515,2516.026779825023,2401.8875647409595,2195.676530901537,1754.4315289474812
0.125,1933.7399609591428,2043.881003060161,2163.314163876737,2235.087369359557,2316.2620175888137,2388.4314865088563,2450.814815089909,2502.975188234644,2544.8949152783875,2574.6895026706025,2590.0506684247034,2588.180991994451,2562.4671596949,2503.446645925898,2389.878126917255,2184.698148247029,1745.659371302744
0.25,1924.0226747231673,2033.6102442508136,2152.44323843012,2223.855774538655,2304.6225099627395,2376.4293182349425,2438.499162752774,2490.397423469646,2532.1064986186975,2561.7513644662276,2577.0353384326195,2575.175057361313,2549.5904402994483,2490.866512026773,2377.8686890935505,2173.7197655925215,1736.8872136580067
0.375,1914.3053884871917,2023.3394854414662,2141.5723129835033,2212.6241797177527,2292.9830023366653,2364.427149961029,2426.183510415639,2477.819658704648,2519.318081959007,2548.813226261853,2564.0200084405355,2562.169122728175,2536.7137209039965,2478.286378127648,2365.8592512698456,2162.741382938014,1728.1150560132692
0.5,1904.5881022512158,2013.0687266321181,2130.701387536886,2201.39258489685,2281.34349471059,2352.4249816871147,2413.867858078503,2465.2418939396493,2506.529665299316,2535.8750880574776,2551.004678448451,2549.1631880950367,2523.8370015085443,2465.7062442285223,2353.8498134461406,2151.763000283506,1719.3428983685315
0.625,1894.8708160152403,2002.7979678227707,2119.8304620902695,2190.1609900759477,2269.703987084516,2340.422813413201,2401.552205741368,2452.6641291746514,2493.741248639626,2522.9369498531028,2537.989348456367,2536.157253461899,2510.960282113093,2453.1261103293973,2341.8403756224357,2140.784617628998,1710.5707407237942
0.75,1885.1535297792648,1992.5272090134233,2108.959536643653,2178.9293952550456,2258.0644794584414,2328.420645139287,2389.236553404233,2440.086364409653,2480.9528319799356,2509.998811648728,2524.9740184642837,2523.151318828761,2498.083562717641,2440.5459764302723,2329.830937798731,2129.806234974491,1701.798583079057
0.875,1875.4362435432893,1982.256450204076,2098.0886111970362,2167.6978004341436,2246.424971832367,2316.4184768653736,2376.920901067098,2427.508599644655,2468.1644153202456,2497.060673444353,2511.9586884722,2510.145384195623,2485.2068433221893,2427.9658425311472,2317.821499975026,2118.8278523199833,1693.0264254343194
1.0,1865.7189573073135,1971.985691394728,2087.217685750419,2156.466205613241,2234.7854642062925,2304.4163085914593,2364.6052487299626,2414.9308348796567,2455.3759986605546,2484.1225352399783,2498.9433584801154,2497.139449562485,2472.3301239267375,2415.3857086320218,2305.8120621513212,2107.849469665475,1684.254267789582
1.125,1856.001671071338,1961.7149325853807,2076.3467603038025,2145.234610792339,2223.1459565802184,2292.414140317546,2352.289596392827,2402.3530701146587,2442.5875820008646,2471.1843970356035,2485.928028488032,2484.1335149293473,2459.4534045312857,2402.805574732897,2293.8026243276167,2096.871087010968,1675.4821101448447
1.25,1846.2843848353623,1951.444173776033,2065.475834857186,2134.0030159714365,2211.5064489541437,2280.4119720436315,2339.973944055692,2389.7753053496604,2429.799165341174,2458.2462588312283,2472.9126984959476,2471.127580296209,2446.576685135834,2390.2254408337717,2281.793186503912,2085.89270435646,1666.7099525001072
1.375,1836.5670985993868,1941.1734149666856,2054.6049094105692,2122.771421150534,2199.8669413280695,2268.409803769718,2327.658291718557,2377.197540584662,2417.0107486814836,2445.3081206268535,2459.897368503864,2458.1216456630714,2433.6999657403826,2377.6453069346467,2269.7837486802073,2074.9143217019523,1657.93779485537
1.5,1826.8498123634113,1930.902656157338,2043.7339839639524,2111.539826329632,2188.227433701995,2256.4076354958042,2315.3426393814216,2364.619775819664,2404.2223320217936,2432.3699824224786,2446.88203851178,2445.1157110299337,2420.823246344931,2365.0651730355216,2257.7743108565023,2063.9359390474447,1649.1656372106324
1.625,1817.1325261274355,1920.6318973479904,2032.8630585173355,2100.3082315087295,2176.58792607592,2244.40546722189,2303.026987044286,2352.0420110546656,2391.4339153621027,2419.431844218104,2433.8667085196957,2432.1097763967955,2407.946526949479,2352.485039136396,2245.7648730327974,2052.957556392937,1640.393479565895
1.75,1807.41523989146,1910.361138538643,2021.9921330707189,2089.0766366878274,2164.948418449846,2232.4032989479765,2290.7113347071513,2339.4642462896677,2378.6454987024126,2406.493706013729,2420.8513785276123,2419.1038417636573,2395.069807554027,2339.9049052372716,2233.755435209093,2041.9791737384294,1631.6213219211577
1.875,1797.6979536554843,1900.0903797292954,2011.121207624102,2077.845041866925,2153.3089108237714,2220.401130674062,2278.395682370016,2326.8864815246693,2365.857082042722,2393.5555678093538,2407.836048535528,2406.097907130519,2382.1930881585754,2327.324771338146,2221.745997385388,2031.0007910839215,1622.8491642764202
2.0,1787.980667419509,1889.8196209199482,2000.2502821774856,2066.613447046023,2141.6694031976976,2208.398962400149,2266.080030032881,2314.3087167596714,2353.068665383032,2380.6174296049794,2394.8207185434444,2393.091972497382,2369.316368763124,2314.7446374390215,2209.7365595616834,2020.0224084294143,1614.077006631683
2.125,1778.2633811835333,1879.5488621106003,1989.3793567308685,2055.3818522251204,2130.029895571623,2196.396794126235,2253.7643776957457,2301.730951994673,2340.2802487233416,2367.6792914006046,2381.8053885513605,2380.0860378642437,2356.439649367672,2302.164503539896,2197.7271217379785,2009.0440257749065,1605.3048489869454
2.25,1768.5460949475578,1869.278103301253,1978.5084312842519,2044.1502574042183,2118.3903879455484,2184.394625852321,2241.448725358611,2289.153187229675,2327.491832063651,2354.74115319623,2368.7900585592765,2367.080103231106,2343.5629299722204,2289.584369640771,2185.717683914274,1998.0656431203988,1596.5326913422082
2.375,1758.828808711582,1859.0073444919053,1967.637505837635,2032.9186625833158,2106.7508803194737,2172.392457578407,2229.1330730214754,2276.5754224646766,2314.7034154039607,2341.8030149918545,2355.7747285671926,2354.074168597968,2330.686210576768,2277.004235741646,2173.7082460905685,1987.087260465891,1587.7605336974707
2.5,1749.1115224756063,1848.7365856825575,1956.7665803910181,2021.6870677624133,2095.111372693399,2160.3902893044933,2216.8174206843396,2263.9976576996783,2301.91499874427,2328.8648767874793,2342.759398575108,2341.0682339648297,2317.8094911813164,2264.4241018425205,2161.6988082668636,1976.108877811383,1578.988376052733
2.625,1739.3942362396308,1838.46582687321,1945.8956549444015,2010.4554729415113,2083.471865067325,2148.3881210305794,2204.5017683472047,2251.41989293468,2289.1265820845797,2315.926738583105,2329.7440685830247,2328.062299331692,2304.9327717858646,2251.8439679433955,2149.689370443159,1965.1304951568754,1570.2162184079957
2.75,1729.6769500036555,1828.1950680638627,1935.0247294977848,1999.223878120609,2071.8323574412507,2136.3859527566656,2192.18611601007,2238.842128169682,2276.3381654248897,2302.98860037873,2316.728738590941,2315.0563646985543,2292.0560523904132,2239.2638340442704,2137.6799326194546,1954.152112502368,1561.4440607632584
2.875,1719.95966376768,1817.9243092545153,1924.1538040511682,1987.992283299707,2060.1928498151765,2124.383784482752,2179.8704636729344,2226.264363404684,2263.549748765199,2290.0504621743553,2303.713408598857,2302.050430065416,2279.1793329949614,2226.6837001451454,2125.6704947957496,1943.1737298478604,1552.6719031185212
